cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
165,163,,,1350.0,USD,1400.0,USD,1300.0,USD,1450.0,USD,1500.0,USD,1100.0,USD,1050.0,USD,2025-03-24T06:34:00.000Z
166,164,,,,,,,1450.0,USD,,,,,,,1200.0,USD,2025-03-24T06:54:00.000Z
167,165,,,,,,,987.0,USD,,,,,,,814.0,USD,2025-03-24T07:00:00.000Z
168,166,,,,,,,,,,,,,,,,,2025-03-24T14:03:00.000Z
169,167,,,,,,,,,,,,,,,,,2025-03-24T06:50:00.000Z
170,168,,,1450.0,USD,1500.0,USD,1550.0,USD,1550.0,USD,1600.0,USD,1200.0,USD,1250.0,USD,2025-03-24T06:38:00.000Z
171,169,,,,,,,856.0,USD,,,,,,,600.0,USD,2025-03-24T05:36:00.000Z
172,170,,,,,,,1350.0,USD,,,,,,,1100.0,USD,2025-03-24T14:35:00.000Z
173,171,,,,,,,1300.0,USD,,,,,,,1100.0,USD,2025-03-24T14:18:00.000Z
174,172,,,1197.0,USD,1250.0,USD,800.0,USD,1400.0,USD,1400.0,USD,1197.0,USD,700.0,USD,2025-03-24T14:26:00.000Z
175,173,,,,,,,,,,,,,,,800.0,USD,2025-03-24T14:14:00.000Z
176,174,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-24T18:12:00.000Z
177,175,,,,,,,1400.0,USD,,,,,,,1100.0,USD,2025-03-24T18:15:00.000Z
178,176,,,,,,,1600.0,USD,,,,,,,1300.0,USD,2025-03-24T18:16:00.000Z
179,177,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-24T18:20:00.000Z
180,178,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-24T18:22:00.000Z
181,179,,,,,,,1300.0,USD,,,,,,,1000.0,USD,2025-03-24T22:44:00.000Z
182,180,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-24T18:07:00.000Z
183,181,,,,,,,1200.0,USD,,,,,,,,,2025-03-25T01:39:00.000Z
184,182,,,,,,,1350.0,USD,,,,,,,,,2025-03-25T01:47:00.000Z
185,183,,,,,,,1250.0,USD,,,,,,,,,2025-03-25T01:49:00.000Z
186,184,,,,,,,1300.0,USD,,,,,,,,,2025-03-25T01:47:00.000Z
187,185,,,,,,,820.0,USD,,,,,,,700.0,USD,2025-03-24T22:41:00.000Z
188,186,,,,,,,,,,,,,,,,,2025-03-24T18:54:00.000Z
189,187,,,,,,,,,,,,,,,,,2025-03-25T01:29:00.000Z
190,188,,,,,,,,,,,,,,,,,2025-03-24T19:00:00.000Z
191,189,,,,,,,,,,,,,,,,,2025-03-24T18:53:00.000Z
192,190,,,,,,,,,,,,,,,,,2025-03-24T19:10:00.000Z
193,191,,,,,,,,,,,,,,,,,2025-03-24T18:59:00.000Z
194,192,,,,,,,1200.0,USD,,,,,,,,,2025-03-25T01:32:00.000Z
195,193,,,,,,,,,,,,,,,,,2025-03-24T19:05:00.000Z
196,194,,,,,,,,,,,,,,,,,2025-03-25T02:24:00.000Z
197,195,,,1800.0,USD,,,1850.0,USD,,,,,,,,,2025-03-25T02:30:00.000Z
198,196,,,,,,,,,,,,,,,,,2025-03-25T02:35:00.000Z
199,197,,,,,,,,,,,,,,,,,2025-03-25T02:40:00.000Z
200,198,,,1350.0,USD,1300.0,USD,1250.0,USD,1500.0,USD,1450.0,USD,1100.0,USD,1050.0,USD,2025-03-24T19:44:00.000Z
201,199,,,,,,,,,,,,,,,,,2025-03-24T19:49:00.000Z
202,200,,,,,,,,,,,,,,,,,2025-03-25T02:20:00.000Z
203,201,,,,,,,,,,,,,,,,,2025-03-24T19:15:00.000Z
204,202,,,,,,,,,,,,,,,,,2025-03-24T20:00:00.000Z
205,203,,,1350.0,USD,1375.0,USD,1400.0,USD,1450.0,USD,1475.0,USD,950.0,USD,975.0,USD,2025-03-24T20:00:00.000Z
206,204,,,1762.5,USD,1762.5,USD,1712.5,USD,1850.0,USD,1850.0,USD,1275.0,USD,1275.0,USD,2025-03-24T19:52:00.000Z
207,205,,,,,,,,,,,,,,,,,2025-03-24T20:00:00.000Z
208,206,,,,,,,,,,,,,,,1200.0,CAD,2025-03-24T00:00:00.000Z
209,207,,,,,,,,,,,,,,,,,2025-03-24T20:00:00.000Z
210,208,,,1275.0,USD,1255.0,USD,1300.0,USD,1395.0,USD,1375.0,USD,845.0,USD,850.0,USD,2025-03-24T00:00:00.000Z
211,209,,,,,,,,,,,,,,,1200.0,CAD,2025-03-24T00:00:00.000Z
212,210,,,,,,,,,,,,,,,1200.0,USD,2025-03-24T00:00:00.000Z
213,211,,,,,,,1400.0,USD,,,,,,,1100.0,USD,2025-03-24T00:00:00.000Z
214,212,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
215,213,,,,,,,,,,,,,,,,,2025-03-25T02:18:00.000Z
216,214,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
217,215,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
218,216,,,20.5,USD,19.8,USD,21.0,USD,,,,,18.0,USD,18.5,USD,2025-03-24T20:00:00.000Z
219,217,,,941.0,USD,,,920.0,USD,,,,,584.0,USD,,,2025-03-24T00:00:00.000Z
220,218,,,,,,,,,,,,,,,,,2025-03-25T04:00:00.000Z
221,219,,,,,,,,,,,,,,,,,2025-03-25T04:03:00.000Z
222,220,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
223,221,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
224,222,,,,,,,,,,,,,,,,,2025-03-25T04:14:00.000Z
225,223,,,,,,,,,,,,,,,1200.0,CAD,2025-03-24T00:00:00.000Z
226,224,,,15.0,USD,14.0,USD,16.0,USD,,,,,,,,,2025-03-25T04:19:00.000Z
227,225,,,,,,,,,,,,,,,,,2025-03-25T04:13:00.000Z
228,226,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
229,227,,,,,,,,,,,,,,,,,2025-03-25T04:17:00.000Z
230,228,,,,,,,1200.0,USD,,,,,,,,,2025-03-24T00:00:00.000Z
231,229,,,,,,,1200.0,USD,,,,,,,,,2025-03-24T00:00:00.000Z
232,230,,,,,,,,,,,,,,,,,2025-03-24T21:35:00.000Z
233,231,,,,,,,,,,,,,,,,,2025-03-25T04:10:00.000Z
234,232,,,1250.0,USD,1200.0,USD,1100.0,USD,,,,,,,,,2025-03-24T21:45:00.000Z
235,233,,,,,,,,,,,,,,,,,2025-03-24T00:00:00.000Z
236,234,,,,,,,1200.0,USD,,,,,,,,,2025-03-24T21:45:00.000Z
237,235,,,,,,,,,,,,,,,,,2025-03-25T05:07:00.000Z
238,236,,,,,,,,,,,,,,,,,2025-03-25T04:24:00.000Z
239,237,,,,,,,1200.0,USD,,,,,,,,,2025-03-24T21:44:00.000Z
240,238,,,,,,,1200.0,USD,,,,,,,,,2025-03-24T00:00:00.000Z
241,239,,,,,,,1162.0,USD,,,,,,,,,2025-03-25T05:07:00.000Z
242,240,,,,,,,,,,,,,,,,,2025-03-25T05:07:00.000Z
243,241,,,,,,,,,,,,,,,,,2025-03-25T05:07:00.000Z
244,242,,,,,,,844.0,USD,,,,,,,,,2025-03-25T05:07:00.000Z
245,243,,,,,,,,,,,,,,,,,2025-03-25T05:41:00.000Z
246,244,,,,,,,844.0,USD,,,,,,,,,2025-03-25T05:07:00.000Z
247,245,,,,,875.0,USD,965.0,USD,,,,,750.0,USD,750.0,USD,2025-03-25T05:07:00.000Z
248,246,,,,,,,,,,,,,,,,,2025-03-25T05:52:00.000Z
249,247,,,,,,,,,,,,,,,,,2025-03-25T05:07:00.000Z
250,248,,,,,,,,,,,,,,,,,2025-03-25T00:00:00.000Z
251,249,,,,,10.0,USD,,,,,,,,,,,2025-03-25T05:48:00.000Z
252,250,,,,,,,928.0,USD,,,,,928.0,USD,,,2025-03-25T00:00:00.000Z
253,251,,,,,,,,,,,,,,,,,2025-03-25T00:00:00.000Z
254,252,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
255,253,,,,,,,998.0,USD,,,,,775.0,USD,,,2025-03-25T00:00:00.000Z
256,254,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
257,255,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
258,256,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
259,257,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
260,258,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
261,259,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
262,260,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
263,261,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
264,262,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
265,263,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
266,264,,,,,,,,,,,,,,,,,2025-03-25T05:44:00.000Z
267,265,,,,,,,928.0,USD,,,,,786.0,USD,,,2025-03-25T00:00:00.000Z
268,266,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
269,267,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
270,268,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
271,269,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
272,270,,,,,,,1200.0,USD,,,,,,,,,2025-03-20T00:00:00.000Z
273,271,,,,,,,1200.0,USD,,,,,,,900.0,USD,2025-03-25T21:47:00.000Z
